ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount
600519.SH,20260703,1205.24,1210.14,1185.0,1194.45,1203.0,-0.7107,34267.55,4099266.243
600519.SH,20260706,1186.0,1215.0,1180.0,1206.91,1194.45,1.0432,40970.01,4913750.668
600519.SH,20260707,1200.0,1202.0,1188.11,1188.8,1206.91,-1.5005,27365.0,3264967.794
600519.SH,20260708,1188.77,1200.98,1177.0,1199.3,1188.8,0.8832,25776.02,3071933.498
600519.SH,20260709,1191.0,1191.99,1178.0,1182.19,1199.3,-1.4267,34096.34,4035216.946
600519.SH,20260710,1182.2,1204.98,1170.28,1204.98,1182.19,1.9278,52212.55,6223343.642
600519.SH,20260713,1197.12,1215.0,1190.19,1210.99,1204.98,0.4988,41982.57,5056689.558
600519.SH,20260714,1208.99,1226.87,1205.0,1214.88,1210.99,0.3212,43527.26,5294785.036
600519.SH,20260715,1203.66,1256.6,1198.66,1251.06,1214.88,2.9781,71943.71,8922861.367
600519.SH,20260716,1252.0,1267.97,1245.05,1258.99,1251.06,0.6339,47611.14,5987570.858
